批量导入报告 - 2026-05-08 23:06:05
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw
产品名称: 自动从文件名提取
文档类型: paper
============================================================

总计: 909 | 成功: 909 | 失败: 0

成功文件:
  ✅ 1-s2.0-S1002072120303288-main.pdf: 成功, document_id: 9c1bbff8-3e58-4f
  ✅ 1-s2.0-S1003632617600566-main.pdf: 成功, document_id: dc5e0191-fdbd-4f
  ✅ 1-s2.0-S1003632619651332-main.pdf: 成功, document_id: 84ced284-a56c-4a
  ✅ 1-s2.0-S1003632619651575-main.pdf: 成功, document_id: c7a63399-7171-44
  ✅ 1-s2.0-S1003632620653080-main.pdf: 成功, document_id: 7e2984a9-495f-4b
  ✅ 1-s2.0-S1003632620653377-main.pdf: 成功, document_id: 039919fd-2720-43
  ✅ 1-s2.0-S1003632625668749-main.pdf: 成功, document_id: 5476c5fc-66fc-45
  ✅ 1-s2.0-S1005030216302067-main.pdf: 成功, document_id: 06c57895-9627-4d
  ✅ 1-s2.0-S100503021630233X-main.pdf: 成功, document_id: 8157362f-64b9-45
  ✅ 1-s2.0-S1005030221000967-main.pdf: 成功, document_id: 3b06353b-c980-45
  ✅ 1-s2.0-S100503022200158X-main.pdf: 成功, document_id: 4b48e281-3e72-4d
  ✅ 1-s2.0-S1005030223001639-main.pdf: 成功, document_id: b1058d8c-40e8-43
  ✅ 1-s2.0-S1005030224003980-main.pdf: 成功, document_id: 93c3c400-b7b7-4d
  ✅ 1-s2.0-S1005030225000404-main.pdf: 成功, document_id: df8ece6c-983d-4e
  ✅ 1-s2.0-S1044580318334648-main.pdf: 成功, document_id: 338fba39-8f5a-4a
  ✅ 1-s2.0-S1044580319318881-main.pdf: 成功, document_id: 3fe8bcfb-0c8d-46
  ✅ 1-s2.0-S104458032100797X-main.pdf: 成功, document_id: 11c80306-ec04-4a
  ✅ 1-s2.0-S1044580322003655-main.pdf: 成功, document_id: 393b7526-3525-41
  ✅ 1-s2.0-S1044580322005861-main.pdf: 成功, document_id: f4cdd8da-5cd9-4c
  ✅ 1-s2.0-S1044580323008963-main.pdf: 成功, document_id: 48767556-e323-4f
  ✅ 1-s2.0-S1350630723007069-main.pdf: 成功, document_id: c883dacf-e698-48
  ✅ 1-s2.0-S1359645420310119-main.pdf: 成功, document_id: 1703ab05-62b5-4b
  ✅ 1-s2.0-S1359645424001411-main.pdf: 成功, document_id: 9aa340ec-8a3a-48
  ✅ 1-s2.0-S1359646220302098-main.pdf: 成功, document_id: 10795f54-705e-41
  ✅ 1-s2.0-S1526612520308811-main.pdf: 成功, document_id: 54827f25-aeb5-48
  ✅ 1-s2.0-S1526612522004480-main.pdf: 成功, document_id: a2764196-de71-47
  ✅ 1-s2.0-S1526612524006157-main.pdf: 成功, document_id: de8086f5-2b96-41
  ✅ 1-s2.0-S2214785321057461-main.pdf: 成功, document_id: 80594852-0fd8-4a
  ✅ 1-s2.0-S2214860420308198-main.pdf: 成功, document_id: 236b5091-3e40-46
  ✅ 1-s2.0-S2238785419310749-main.pdf: 成功, document_id: 3dea5795-4417-48
  ✅ 1-s2.0-S223878542031838X-main.pdf: 成功, document_id: 55dbbdca-cc46-45
  ✅ 1-s2.0-S2238785420319918-main.pdf: 成功, document_id: 61ffbe73-f559-4b
  ✅ 1-s2.0-S2238785421015180-main.pdf: 成功, document_id: 67ec77ae-bf4c-4d
  ✅ 1-s2.0-S2238785422004756-main.pdf: 成功, document_id: 2a06deb0-e393-4f
  ✅ 1-s2.0-S2238785422009206-main.pdf: 成功, document_id: 2b7512e0-efcb-4d
  ✅ 1-s2.0-S2238785422013266-main.pdf: 成功, document_id: 9fe455ad-e073-43
  ✅ 1-s2.0-S2238785422018117-main.pdf: 成功, document_id: 55aab1fe-2f51-46
  ✅ 1-s2.0-S2238785422020221-main.pdf: 成功, document_id: f024fc31-d0d0-45
  ✅ 1-s2.0-S2238785423017155-main.pdf: 成功, document_id: 0fac0f10-9c5d-4d
  ✅ 1-s2.0-S2238785423019506-main.pdf: 成功, document_id: bb5401f9-b0d5-48
  ✅ 1-s2.0-S2238785424008172-main.pdf: 成功, document_id: 97c7cdd3-c89c-44
  ✅ 1-s2.0-S2238785424009086-main.pdf: 成功, document_id: 8b83fb60-8529-43
  ✅ 1-s2.0-S2238785424021227-main.pdf: 成功, document_id: c4a09391-ed4b-42
  ✅ 1-s2.0-S2238785424025079-main.pdf: 成功, document_id: ec28dcd1-d88b-42
  ✅ Adv Eng Mater - 2018 - Li - Effects of Heat Treatment on Microstructure and Mechanical Properties of an ECAPed Al Zn Mg Cu.pdf: 成功, document_id: adefd6f3-0b17-40
  ✅ Adv Eng Mater - 2019 - Zhang - Hall Petch Relationship in Electrically Pulsed Al Zn Mg Alloys.pdf: 成功, document_id: 822efd65-017d-44
  ✅ applsci-11-00470.pdf: 成功, document_id: 062555d2-6e55-44
  ✅ BF00356137.pdf: 成功, document_id: 79cee38b-f284-43
