批量导入报告 - 2026-05-07 18:24:32
目录: D:\pyprocesses\deep_rag_product_assistant\backend\data\raw\new
产品名称: 新合金论文
文档类型: paper
============================================================

总计: 530 | 成功: 530 | 失败: 0

成功文件:
  ✅ 1-s2.0-S092150932200199X-main.pdf: 成功, document_id: 3ab35582-6629-4d
  ✅ 1-s2.0-S0921509322006803-main.pdf: 成功, document_id: c71946fd-b7c3-45
  ✅ 1-s2.0-S0921509322007390-main.pdf: 成功, document_id: f0d96dee-b847-45
  ✅ 1-s2.0-S0921509323006986-main.pdf: 成功, document_id: d926f801-501c-4b
  ✅ 1-s2.0-S0921509323013783-main.pdf: 成功, document_id: 720c7675-8f12-4e
  ✅ 1-s2.0-S0921509325001753-main.pdf: 成功, document_id: 50fbd2bd-2f6b-40
  ✅ 1-s2.0-S0924013615302429-main.pdf: 成功, document_id: 286e86b3-4c60-4c
  ✅ 1-s2.0-S092583881200624X-main.pdf: 成功, document_id: a5eeb72c-5aa8-42
  ✅ 1-s2.0-S0925838813021750-main.pdf: 成功, document_id: a3dda462-12fa-4f
  ✅ 1-s2.0-S0925838814009323-main.pdf: 成功, document_id: bbb70c2f-1ffb-4f
  ✅ 1-s2.0-S0925838815008038-main.pdf: 成功, document_id: 74e2ac80-8d5f-4b
  ✅ 1-s2.0-S0925838815313724-main.pdf: 成功, document_id: 7416f4ee-a042-46
  ✅ 1-s2.0-S0925838816300160-main.pdf: 成功, document_id: a6e6904a-2805-40
  ✅ 1-s2.0-S0925838816314669-main.pdf: 成功, document_id: 80e147c3-3d88-4c
  ✅ 1-s2.0-S0925838816332030-main.pdf: 成功, document_id: 76df5b80-6597-4d
  ✅ 1-s2.0-S0925838817310320-main.pdf: 成功, document_id: a73cd67e-ccaa-48
  ✅ 1-s2.0-S0925838817331833-main.pdf: 成功, document_id: 47cf2a10-9de8-44
  ✅ 1-s2.0-S0925838818310582-main.pdf: 成功, document_id: 84a92d8b-c6ec-47
  ✅ 1-s2.0-S0925838818310764-main.pdf: 成功, document_id: afba1adf-429f-43
  ✅ 1-s2.0-S0925838818317420-main.pdf: 成功, document_id: 05d00ae9-4f97-43
  ✅ 1-s2.0-S0925838818328421-main.pdf: 成功, document_id: 56fdd7b7-bb65-40
  ✅ 1-s2.0-S0925838818337034-main.pdf: 成功, document_id: bf066203-9870-4e
  ✅ 1-s2.0-S0925838818340374-main.pdf: 成功, document_id: 6de8bdd1-2e87-4c
  ✅ 1-s2.0-S0925838819308722-main.pdf: 成功, document_id: 136decdf-696a-40
  ✅ 1-s2.0-S0925838819312344-main.pdf: 成功, document_id: ec667d77-5204-49
  ✅ 1-s2.0-S0925838819347048-main.pdf: 成功, document_id: 4f45eafe-19ba-40
  ✅ 1-s2.0-S0925838819348182-main.pdf: 成功, document_id: c73d6715-37bd-44
  ✅ 1-s2.0-S0925838820303686-main.pdf: 成功, document_id: 5182815a-cf00-4c
  ✅ 1-s2.0-S0925838820315012-main.pdf: 成功, document_id: 3dfb4037-753b-4b
  ✅ 1-s2.0-S092583882032925X-main.pdf: 成功, document_id: 3523341b-ca66-46
  ✅ 1-s2.0-S0925838820336367-main.pdf: 成功, document_id: e10bc96d-5824-48
  ✅ 1-s2.0-S0925838821000876-main.pdf: 成功, document_id: eda8767b-8bf5-46
  ✅ 1-s2.0-S0925838821003273-main.pdf: 成功, document_id: 7edd36d2-d225-4c
  ✅ 1-s2.0-S0925838821033429-main.pdf: 成功, document_id: d5846969-76b6-40
  ✅ 1-s2.0-S0925838821043681-main.pdf: 成功, document_id: bc4bb5ae-1740-44
  ✅ 1-s2.0-S0925838821048015-main.pdf: 成功, document_id: 53398628-5403-4b
  ✅ 1-s2.0-S0925838823005492-main.pdf: 成功, document_id: ff167d94-508d-43
  ✅ 1-s2.0-S0925838823042330-main.pdf: 成功, document_id: af74c528-cae8-41
  ✅ 1-s2.0-S092583882304584X-main.pdf: 成功, document_id: 948e2fda-3fd1-45
  ✅ 1-s2.0-S0925838824003499-main.pdf: 成功, document_id: 006fa3d7-ac00-4a
  ✅ 1-s2.0-S0925838824036594-main.pdf: 成功, document_id: 7fb36eef-4dd7-4f
  ✅ 1-s2.0-S0925838824040854-main.pdf: 成功, document_id: dec1f4f1-71f9-4e
  ✅ 1-s2.0-S092583882404369X-main.pdf: 成功, document_id: 2b2964ce-7e49-42
  ✅ 1-s2.0-S0925838825005110-main.pdf: 成功, document_id: 3c7417f5-dbe1-48
  ✅ 1-s2.0-S0925838825012708-main.pdf: 成功, document_id: 04722982-14f9-48
  ✅ 1-s2.0-S0925838825023606-main.pdf: 成功, document_id: e9e058d2-2bf6-4f
  ✅ 1-s2.0-S0925838825031123-main.pdf: 成功, document_id: 546e1fd0-6579-4f
  ✅ 1-s2.0-S0925838825045384-main.pdf: 成功, document_id: da5ce50e-f16f-4b
  ✅ 1-s2.0-S092583882600304X-main.pdf: 成功, document_id: f5863506-f4c4-41
  ✅ 1-s2.0-S100200711630003X-main.pdf: 成功, document_id: 13de8507-4f0d-4f
  ✅ 1-s2.0-S1002007117310250-main.pdf: 成功, document_id: d09c0014-26e3-44
  ✅ 1-s2.0-S1002072120303288-main.pdf: 成功, document_id: a7ef0e53-3251-4e
  ✅ 1-s2.0-S1003632614633240-main.pdf: 成功, document_id: a61cbde0-fa54-4b
  ✅ 1-s2.0-S1003632617600293-main.pdf: 成功, document_id: 9e44cc43-cc50-43
  ✅ 1-s2.0-S1003632617600566-main.pdf: 成功, document_id: 5f789598-64ea-4b
  ✅ 1-s2.0-S1003632619651332-main.pdf: 成功, document_id: e35c796c-4e7a-4c
  ✅ 1-s2.0-S1003632619651575-main.pdf: 成功, document_id: c8c8e8d8-e188-4f
  ✅ 1-s2.0-S1003632620653080-main.pdf: 成功, document_id: e4aa2373-5518-43
  ✅ 1-s2.0-S1003632620653377-main.pdf: 成功, document_id: 3c44f12b-cff1-49
  ✅ 1-s2.0-S1003632620653614-main.pdf: 成功, document_id: dc0cde25-7955-43
  ✅ 1-s2.0-S1003632625668749-main.pdf: 成功, document_id: 0c0db540-723f-4a
  ✅ 1-s2.0-S1005030216302067-main.pdf: 成功, document_id: fb0c2f72-0b1e-40
  ✅ 1-s2.0-S100503021630233X-main.pdf: 成功, document_id: cb52e407-81b4-44
  ✅ 1-s2.0-S100503021730141X-main.pdf: 成功, document_id: 121ae00c-931c-42
  ✅ 1-s2.0-S1005030217303055-main.pdf: 成功, document_id: 6798c72d-706b-47
  ✅ 1-s2.0-S1005030219302452-main.pdf: 成功, document_id: 05866bf5-5bca-46
  ✅ 1-s2.0-S100503021930427X-main.pdf: 成功, document_id: bdda6827-59be-46
  ✅ 1-s2.0-S1005030221000967-main.pdf: 成功, document_id: 50171067-8502-48
  ✅ 1-s2.0-S100503022100894X-main.pdf: 成功, document_id: c276d786-e057-4a
  ✅ 1-s2.0-S100503022200158X-main.pdf: 成功, document_id: db50862d-3a98-4e
  ✅ 1-s2.0-S1005030223001639-main.pdf: 成功, document_id: 8825a6f9-fa7e-40
  ✅ 1-s2.0-S1005030224003980-main.pdf: 成功, document_id: 30d09103-899f-4e
  ✅ 1-s2.0-S1005030225000404-main.pdf: 成功, document_id: 60fc3931-d469-4f
  ✅ 1-s2.0-S1005030225005122-main.pdf: 成功, document_id: 2be047b1-38a2-47
  ✅ 1-s2.0-S104458031730253X-main.pdf: 成功, document_id: b9f24a4f-0d8b-49
  ✅ 1-s2.0-S1044580318334648-main.pdf: 成功, document_id: 2a770457-dc16-4b
  ✅ 1-s2.0-S1044580319317188-main.pdf: 成功, document_id: 4466f113-f9d5-4a
  ✅ 1-s2.0-S1044580319318881-main.pdf: 成功, document_id: 3c66439c-b881-4c
  ✅ 1-s2.0-S1044580319334230-main.pdf: 成功, document_id: bcf29dd5-791d-42
  ✅ 1-s2.0-S104458032100797X-main.pdf: 成功, document_id: 4d746aa2-34c8-40
  ✅ 1-s2.0-S1044580322003655-main.pdf: 成功, document_id: 0808fde8-fd7d-45
  ✅ 1-s2.0-S1044580322005861-main.pdf: 成功, document_id: 7476834a-4ba3-47
  ✅ 1-s2.0-S1044580323001298-main.pdf: 成功, document_id: 1fa3315f-17b3-41
  ✅ 1-s2.0-S1044580323008963-main.pdf: 成功, document_id: 1ec57887-728b-46
  ✅ 1-s2.0-S1044580324007551-main.pdf: 成功, document_id: 2bc1cc98-b183-45
  ✅ 1-s2.0-S1044580326003645-main.pdf: 成功, document_id: fedfa28d-1695-4c
  ✅ 1-s2.0-S1350630723007069-main.pdf: 成功, document_id: 74d96740-7da6-48
  ✅ 1-s2.0-S135964542030272X-main.pdf: 成功, document_id: 7bc777cd-beab-40
  ✅ 1-s2.0-S1359645420310119-main.pdf: 成功, document_id: 4fb829d8-f22c-4e
  ✅ 1-s2.0-S1359645421000628-main.pdf: 成功, document_id: fa5092b3-2699-47
  ✅ 1-s2.0-S1359645421004626-main.pdf: 成功, document_id: ff873ae7-79a7-46
  ✅ 1-s2.0-S1359645424001411-main.pdf: 成功, document_id: 747e2737-f282-46
  ✅ 1-s2.0-S1359646220302098-main.pdf: 成功, document_id: 01617a1a-e747-43
  ✅ 1-s2.0-S1359646221001330-main.pdf: 成功, document_id: c5dd8b51-76dd-4c
  ✅ 1-s2.0-S1359646221005996-main.pdf: 成功, document_id: f93edf52-ec76-49
  ✅ 1-s2.0-S1385894724047259-main.pdf: 成功, document_id: 5f2f88f2-4e79-4a
  ✅ 1-s2.0-S1526612520308811-main.pdf: 成功, document_id: 87187856-715f-43
  ✅ 1-s2.0-S1526612522004480-main.pdf: 成功, document_id: c77a6a5f-401a-41
  ✅ 1-s2.0-S1526612524006157-main.pdf: 成功, document_id: 5a53937f-20ae-4f
  ✅ 1-s2.0-S2214785321057461-main.pdf: 成功, document_id: 8c2e3d49-8d6e-47
